state	county	policies	insurance	premium
GEORGIA	OGLETHORPE COUNTY	9	1821300	6357
GEORGIA	PAULDING COUNTY	200	51613600	82944
GEORGIA	PEACH COUNTY	25	6370700	16926
GEORGIA	PIERCE COUNTY	34	7790400	17602
GEORGIA	QUITMAN COUNTY	2	392000	536
GEORGIA	RABUN COUNTY	154	41824800	228985
GEORGIA	RICHMOND COUNTY	1014	219369000	746217
GEORGIA	ROCKDALE COUNTY	126	33488300	62069
GEORGIA	SCREVEN COUNTY	26	4905000	17075
GEORGIA	SPALDING COUNTY	116	25939200	62454
GEORGIA	STEPHENS COUNTY	56	9184000	47688
GEORGIA	STEWART COUNTY	1	175000	300
GEORGIA	TALBOT COUNTY	7	1249400	4612
GEORGIA	TATTNALL COUNTY	34	4885900	20607
GEORGIA	TELFAIR COUNTY	9	1170000	5820
GEORGIA	TERRELL COUNTY	8	1375500	5712
GEORGIA	THOMAS COUNTY	212	49520200	133227
GEORGIA	TIFT COUNTY	220	42591700	152604
GEORGIA	TOOMBS COUNTY	40	5684800	23902
GEORGIA	TOWNS COUNTY	73	16921100	55932
GEORGIA	TREUTLEN COUNTY	1	128000	1328
GEORGIA	TROUP COUNTY	145	39799600	184682
GEORGIA	TURNER COUNTY	12	1358300	10296
GEORGIA	TWIGGS COUNTY	2	280000	581
GEORGIA	UPSON COUNTY	24	4501400	21663
GEORGIA	WARE COUNTY	168	33894700	120828
GEORGIA	WARREN COUNTY	3	1230000	2463
GEORGIA	WAYNE COUNTY	80	16461700	49691
GEORGIA	WHEELER COUNTY	10	834300	10433
GEORGIA	WHITFIELD COUNTY	186	47826800	245226
GEORGIA	WILKES COUNTY	1	105000	256
GEORGIA	WILKINSON COUNTY	2	310000	2269
GEORGIA	WORTH COUNTY	101	21965800	110934
HAWAII	HAWAII COUNTY	4350	1031731200	3582929
HAWAII	HONOLULU COUNTY	38112	8838403300	24038934
HAWAII	KAUAI COUNTY	5358	1113988300	4423059
HAWAII	MAUI COUNTY	12076	2642612400	7147882
IDAHO	ELMORE COUNTY	118	18741800	95397
IDAHO	FRANKLIN COUNTY	7	1703800	3127
IDAHO	JEFFERSON COUNTY	72	18132100	41795
IDAHO	MADISON COUNTY	51	16057400	50860
IDAHO	WASHINGTON COUNTY	91	16571900	99535
IDAHO	CLARK COUNTY	1	140000	285
IDAHO	LINCOLN COUNTY	23	3912600	22506
IDAHO	BUTTE COUNTY	14	2111400	13078
IDAHO	ADAMS COUNTY	15	3444300	9902
IDAHO	FREMONT COUNTY	20	5133000	26745
IDAHO	ADA COUNTY	3140	931495300	1851382
IDAHO	BANNOCK COUNTY	142	30283800	139087
IDAHO	BEAR LAKE COUNTY	2	158000	2112
IDAHO	BENEWAH COUNTY	84	18980100	75430
IDAHO	BINGHAM COUNTY	149	32167600	108866
IDAHO	BLAINE COUNTY	1245	368650100	710459
IDAHO	BOISE COUNTY	62	14100400	34708
IDAHO	BONNER COUNTY	334	82668800	214915
IDAHO	BONNEVILLE COUNTY	144	36241100	109191
IDAHO	BOUNDARY COUNTY	21	5763500	16327
IDAHO	CAMAS COUNTY	2	286200	523
IDAHO	CANYON COUNTY	598	142419300	422862
IDAHO	CARIBOU COUNTY	4	677500	2163
IDAHO	CASSIA COUNTY	34	8026900	24945
IDAHO	CLEARWATER COUNTY	17	2525200	15807
IDAHO	CUSTER COUNTY	51	10283700	36080
IDAHO	GEM COUNTY	35	9515800	18523
IDAHO	GOODING COUNTY	63	10710000	66479
IDAHO	IDAHO COUNTY	47	9166200	42061
IDAHO	JEROME COUNTY	4	1300000	2707
IDAHO	KOOTENAI COUNTY	311	72880800	261845
IDAHO	LATAH COUNTY	186	34446700	151336
IDAHO	LEMHI COUNTY	85	16978800	85098
IDAHO	LEWIS COUNTY	16	3508900	46426
IDAHO	MINIDOKA COUNTY	21	6345000	10234
IDAHO	NEZ PERCE COUNTY	43	11353400	52304
IDAHO	ONEIDA COUNTY	2	220000	839
IDAHO	OWYHEE COUNTY	1	350000	415
IDAHO	PAYETTE COUNTY	83	19406300	51431
IDAHO	POWER COUNTY	2	420000	667
IDAHO	SHOSHONE COUNTY	559	81011700	374144
IDAHO	TETON COUNTY	60	17538400	37088
IDAHO	TWIN FALLS COUNTY	71	15512500	66384
IDAHO	VALLEY COUNTY	47	12018600	47939
ILLINOIS	CALHOUN COUNTY	192	22356200	122312
ILLINOIS	CLAY COUNTY	20	2437000	13966
ILLINOIS	DE KALB COUNTY	229	48160100	269156
ILLINOIS	FAYETTE COUNTY	2	560000	702
ILLINOIS	FRANKLIN COUNTY	100	11434400	104929
ILLINOIS	GREENE COUNTY	30	3115400	32571
ILLINOIS	HENRY COUNTY	266	32150900	312364
ILLINOIS	JACKSON COUNTY	198	27651500	162574
ILLINOIS	JEFFERSON COUNTY	32	3056400	21288
ILLINOIS	LAWRENCE COUNTY	28	2475700	15968
ILLINOIS	LEE COUNTY	284	43029600	308579
ILLINOIS	MACON COUNTY	113	23600300	103075
ILLINOIS	MADISON COUNTY	1527	337221700	1287710
ILLINOIS	MARION COUNTY	29	6200300	22713
ILLINOIS	MARSHALL COUNTY	63	9977900	50138
ILLINOIS	MONROE COUNTY	212	33514400	250681
ILLINOIS	MONTGOMERY COUNTY	16	577800	7999
ILLINOIS	MORGAN COUNTY	180	17694600	166701
ILLINOIS	PIKE COUNTY	217	36497600	108447
ILLINOIS	RANDOLPH COUNTY	128	21673900	104453
ILLINOIS	ST. CLAIR COUNTY	1526	286455500	1369543
ILLINOIS	WASHINGTON COUNTY	7	1400800	6033
ILLINOIS	BOONE COUNTY	181	36826000	187238
ILLINOIS	CARROLL COUNTY	54	9024800	50365
ILLINOIS	CLARK COUNTY	10	1259200	5147
ILLINOIS	CRAWFORD COUNTY	49	6779000	35740
ILLINOIS	FULTON COUNTY	47	5347100	37350
ILLINOIS	JOHNSON COUNTY	12	3102000	9891
ILLINOIS	LOGAN COUNTY	51	8045400	55790
ILLINOIS	PERRY COUNTY	22	2429500	13547
ILLINOIS	PULASKI COUNTY	41	7404600	44205
ILLINOIS	SALINE COUNTY	159	28341600	151690
ILLINOIS	SCOTT COUNTY	45	4107700	57501
ILLINOIS	UNION COUNTY	88	7253000	90796
ILLINOIS	WHITE COUNTY	80	9917500	55702
ILLINOIS	LAKE COUNTY	2815	675374100	3124199
ILLINOIS	ADAMS COUNTY	186	35486700	214179
ILLINOIS	DOUGLAS COUNTY	258	28493500	220408
ILLINOIS	PUTNAM COUNTY	19	2819600	20767
ILLINOIS	COOK COUNTY	15452	3195857500	16144610
ILLINOIS	EFFINGHAM COUNTY	10	2452400	8890
ILLINOIS	HANCOCK COUNTY	111	11537200	82453
ILLINOIS	JASPER COUNTY	8	1111400	3985
ILLINOIS	WARREN COUNTY	31	2768100	15320
ILLINOIS	WAYNE COUNTY	27	2117800	23581
ILLINOIS	ALEXANDER COUNTY	191	19018200	177409
ILLINOIS	BOND COUNTY	8	2824800	7608
ILLINOIS	BROWN COUNTY	7	1529400	4284
ILLINOIS	BUREAU COUNTY	63	7353600	62588
ILLINOIS	CASS COUNTY	234	58787100	143644
ILLINOIS	CHAMPAIGN COUNTY	381	81931400	299017
ILLINOIS	CHRISTIAN COUNTY	31	5137800	16743
ILLINOIS	CLINTON	12	2484900	24014
ILLINOIS	CLINTON COUNTY	69	9482500	52979
ILLINOIS	COLES COUNTY	116	14796900	101454
ILLINOIS	CUMBERLAND COUNTY	4	732400	4379
ILLINOIS	DE WITT COUNTY	41	5188900	40525
ILLINOIS	DU PAGE COUNTY	4115	836973200	3970483
ILLINOIS	EDGAR COUNTY	17	2279200	8571
ILLINOIS	EDWARDS COUNTY	3	490000	915
ILLINOIS	FORD COUNTY	2	280000	537
ILLINOIS	GALLATIN COUNTY	47	5767500	31728
ILLINOIS	GRUNDY COUNTY	475	89119500	575244
ILLINOIS	HARDIN COUNTY	8	1605800	5893
ILLINOIS	HENDERSON COUNTY	146	23871900	114882
ILLINOIS	IROQUOIS COUNTY	548	47449200	392946
ILLINOIS	JERSEY COUNTY	158	21308600	184129
ILLINOIS	JO DAVIESS COUNTY	83	16678700	63808
ILLINOIS	KANE COUNTY	720	161587000	774377
ILLINOIS	KANKAKEE COUNTY	606	96705700	695772
ILLINOIS	KENDALL COUNTY	801	137671000	1087476
ILLINOIS	KNOX COUNTY	43	8910000	33336
ILLINOIS	LA SALLE COUNTY	410	77539900	314132
ILLINOIS	LIVINGSTON COUNTY	265	23209700	213823
ILLINOIS	MACOUPIN COUNTY	14	866900	8271
ILLINOIS	MASON COUNTY	78	9092900	45523
ILLINOIS	MASSAC COUNTY	176	29155300	113542
ILLINOIS	MCDONOUGH COUNTY	11	964500	5365
ILLINOIS	MCHENRY COUNTY	1043	206456600	1341571
ILLINOIS	MCLEAN COUNTY	206	45923100	190282
ILLINOIS	MENARD COUNTY	22	5282300	33288
ILLINOIS	MERCER COUNTY	21	2476100	8628
ILLINOIS	MOULTRIE COUNTY	32	4864800	27157
ILLINOIS	OGLE COUNTY	162	27067700	136743
ILLINOIS	PEORIA COUNTY	538	96613000	589239
ILLINOIS	PIATT COUNTY	54	10193400	46856
ILLINOIS	RICHLAND COUNTY	7	1398200	4015
ILLINOIS	ROCK ISLAND COUNTY	1076	175069300	1190155
ILLINOIS	SANGAMON COUNTY	257	63198600	193390
ILLINOIS	SCHUYLER COUNTY	17	3612800	23133
ILLINOIS	STARK COUNTY	16	1678500	9113
ILLINOIS	STEPHENSON COUNTY	125	18925200	106564
ILLINOIS	TAZEWELL COUNTY	289	94254600	333942
ILLINOIS	VERMILION COUNTY	92	15859600	70861
ILLINOIS	WABASH COUNTY	18	4325000	6109
ILLINOIS	WHITESIDE COUNTY	257	45779900	202014
ILLINOIS	WILL COUNTY	1019	230206000	1248081
ILLINOIS	WILLIAMSON COUNTY	235	33124400	187960
ILLINOIS	WINNEBAGO COUNTY	863	135313300	1010578
ILLINOIS	WOODFORD COUNTY	129	18008800	122103
INDIANA	CLAY COUNTY	49	6500000	33044
INDIANA	DE KALB COUNTY	83	13223400	112294
INDIANA	FAYETTE COUNTY	78	10753000	49222
INDIANA	FRANKLIN COUNTY	68	8730200	49479
INDIANA	GREENE COUNTY	60	8219200	43273
INDIANA	HENRY COUNTY	72	11151200	60792
INDIANA	JACKSON COUNTY	292	50864500	241107
INDIANA	JEFFERSON COUNTY	140	17242000	136638
INDIANA	LAWRENCE COUNTY	40	6466700	26966
INDIANA	MADISON COUNTY	349	53778000	288980
INDIANA	MARION COUNTY	4508	884648800	4965479
INDIANA	MARSHALL COUNTY	83	14619100	78639
INDIANA	MONROE COUNTY	275	62146400	248503
INDIANA	MONTGOMERY COUNTY	63	10400800	38606
INDIANA	MORGAN COUNTY	372	87450300	290937
INDIANA	PIKE COUNTY	9	1766100	6641
INDIANA	RANDOLPH COUNTY	121	14874600	87843
INDIANA	SHELBY COUNTY	325	54089000	322072
INDIANA	WASHINGTON COUNTY	26	1690200	23325
INDIANA	BENTON COUNTY	3	1050000	1203
INDIANA	BOONE COUNTY	286	49270300	273981
INDIANA	CARROLL COUNTY	300	46404000	267624
INDIANA	CLARK COUNTY	1036	192244500	1058706
INDIANA	CRAWFORD COUNTY	42	4833400	37867
INDIANA	FULTON COUNTY	60	9270300	51328
INDIANA	GRANT COUNTY	124	19481400	98564
INDIANA	HOWARD COUNTY	240	57338400	272129
INDIANA	JOHNSON COUNTY	549	113402700	515800
INDIANA	NEWTON COUNTY	73	10348200	71540
INDIANA	PERRY COUNTY	66	9605100	56739
INDIANA	PULASKI COUNTY	68	6926000	48344
INDIANA	SCOTT COUNTY	41	7670600	24933
INDIANA	UNION COUNTY	5	798000	2514
INDIANA	WHITE COUNTY	190	37194200	185355
INDIANA	LAKE COUNTY	1789	397593100	1585351
INDIANA	ORANGE COUNTY	86	17894900	190326
INDIANA	ADAMS COUNTY	94	13707500	81998
INDIANA	HAMILTON COUNTY	820	210322700	672785
INDIANA	MARTIN COUNTY	12	1753200	10041
INDIANA	PUTNAM COUNTY	62	11163400	50803
INDIANA	DECATUR COUNTY	53	9869800	45607
INDIANA	FLOYD COUNTY	223	47352700	201502
INDIANA	HANCOCK COUNTY	266	51644800	286385
INDIANA	JASPER COUNTY	148	21069900	135674
INDIANA	WARREN COUNTY	4	338200	2363
INDIANA	WAYNE COUNTY	143	16266800	109462
INDIANA	BROWN COUNTY	142	29589700	166921
INDIANA	CASS COUNTY	147	19759600	91027
INDIANA	CLINTON COUNTY	66	13252900	39410
INDIANA	KNOX COUNTY	119	23964500	126613
INDIANA	WABASH COUNTY	99	15400100	84567
INDIANA	ALLEN COUNTY	1014	202317500	1188954
INDIANA	BARTHOLOMEW COUNTY	754	157242300	719584
INDIANA	BLACKFORD COUNTY	5	709000	2744
INDIANA	DAVIESS COUNTY	16	2604500	6528
INDIANA	DEARBORN COUNTY	138	32721600	174202
INDIANA	DELAWARE COUNTY	501	94086900	382772
INDIANA	DUBOIS COUNTY	44	12907900	46961
INDIANA	ELKHART COUNTY	496	99278600	516306
INDIANA	FOUNTAIN COUNTY	18	3387400	8838
INDIANA	GIBSON COUNTY	43	6297300	32441
INDIANA	HARRISON COUNTY	107	15894800	116083
INDIANA	HENDRICKS COUNTY	270	67375700	179113
INDIANA	HUNTINGTON COUNTY	83	13820100	67846
INDIANA	JAY COUNTY	48	6121700	40735
INDIANA	JENNINGS COUNTY	28	2982100	15989
INDIANA	KOSCIUSKO COUNTY	706	118997500	624907
INDIANA	LA PORTE COUNTY	257	54144500	224715
INDIANA	LAGRANGE COUNTY	236	41041400	183540
INDIANA	MIAMI COUNTY	88	16622500	61791
INDIANA	NOBLE COUNTY	266	40735200	204678
INDIANA	OHIO COUNTY	56	9261300	41347
INDIANA	OWEN COUNTY	84	11794400	71875
INDIANA	PARKE COUNTY	31	2901400	24597
INDIANA	PORTER COUNTY	175	42244800	137966
INDIANA	POSEY COUNTY	165	31415600	141780
INDIANA	RIPLEY COUNTY	18	2819400	17257
INDIANA	RUSH COUNTY	52	7364600	40244
INDIANA	SPENCER COUNTY	117	14269500	110200
INDIANA	ST. JOSEPH COUNTY	323	78734600	296029
INDIANA	STARKE COUNTY	70	8620500	49070
INDIANA	STEUBEN COUNTY	172	26444800	145162
INDIANA	SULLIVAN COUNTY	13	485500	5744
INDIANA	SWITZERLAND COUNTY	67	7102300	55109
INDIANA	TIPPECANOE COUNTY	263	56288000	207826
INDIANA	TIPTON COUNTY	185	35883900	128300
INDIANA	VANDERBURGH COUNTY	966	252612100	891927
INDIANA	VERMILLION COUNTY	62	5827100	40073
INDIANA	VIGO COUNTY	975	176179000	875118
INDIANA	WARRICK COUNTY	203	47785500	136029
INDIANA	WELLS COUNTY	63	16196400	41127
INDIANA	WHITLEY COUNTY	90	17589600	67269
IOWA	BUTLER COUNTY	264	32062000	234640
IOWA	CALHOUN COUNTY	3	73500	536
IOWA	CHEROKEE COUNTY	48	3257400	41104
IOWA	CLARKE COUNTY	1	45000	518
IOWA	CLAY COUNTY	78	9167000	83022
IOWA	DALLAS COUNTY	374	106302800	504174
IOWA	FAYETTE COUNTY	48	7161300	33857
IOWA	FRANKLIN COUNTY	30	4124700	21995
IOWA	GREENE COUNTY	4	1775000	6402
IOWA	JACKSON COUNTY	61	10802100	64373
IOWA	JEFFERSON COUNTY	4	1527500	2213
IOWA	LEE COUNTY	131	29920600	164184
IOWA	MADISON COUNTY	7	1769000	4882
IOWA	MARION COUNTY	26	4693900	34211
IOWA	MARSHALL COUNTY	50	11049900	40304
IOWA	MONROE COUNTY	1	25000	1115
IOWA	MONTGOMERY COUNTY	186	11423000	124229
IOWA	SHELBY COUNTY	28	6067100	32648
IOWA	WASHINGTON COUNTY	157	28194600	112858
IOWA	BENTON COUNTY	133	21021200	110793
IOWA	BOONE COUNTY	127	22658000	94155
IOWA	CARROLL COUNTY	28	5255900	59632
IOWA	CRAWFORD COUNTY	27	5419200	47395
IOWA	HOWARD COUNTY	23	2087100	14273
IOWA	JOHNSON COUNTY	804	222708000	1153319
IOWA	POLK COUNTY	829	222715700	910374
IOWA	SCOTT COUNTY	1160	206012000	1609336
IOWA	UNION COUNTY	12	1225600	8896
IOWA	VAN BUREN COUNTY	105	13975500	82213
IOWA	HUMBOLDT COUNTY	53	6242600	49580
IOWA	ADAMS COUNTY	6	361100	5677
IOWA	FREMONT COUNTY	134	18822300	145190
IOWA	HAMILTON COUNTY	16	2749600	10914
IOWA	OSCEOLA COUNTY	1	1e+06	2675
IOWA	TAYLOR COUNTY	2	53000	1556
IOWA	CLAYTON COUNTY	170	28846500	149769
IOWA	DECATUR COUNTY	3	282500	2642
IOWA	FLOYD COUNTY	169	19129700	155795
IOWA	HANCOCK COUNTY	13	2870300	18399
IOWA	JASPER COUNTY	43	9984500	46064
IOWA	JONES COUNTY	119	25583300	95432
IOWA	MITCHELL COUNTY	31	5121400	13257
IOWA	WARREN COUNTY	26	5997100	9913
IOWA	WAYNE COUNTY	1	19000	1366
IOWA	WORTH COUNTY	8	2371200	5651
IOWA	CASS COUNTY	54	8068900	43159
IOWA	CLINTON COUNTY	218	37894100	210722
IOWA	GRUNDY COUNTY	9	961700	8521
IOWA	HARDIN COUNTY	24	3448500	16780
IOWA	WINNEBAGO COUNTY	1	140000	316
IOWA	DELAWARE COUNTY	231	28736000	214957
IOWA	HARRISON COUNTY	210	31158700	230767
IOWA	ALLAMAKEE COUNTY	50	8958300	44038
IOWA	APPANOOSE COUNTY	3	422000	2553
IOWA	AUDUBON COUNTY	6	587000	6202
IOWA	BLACK HAWK COUNTY	845	167084800	892722
IOWA	BREMER COUNTY	338	48645200	330927
IOWA	BUCHANAN COUNTY	214	26752100	169321
IOWA	BUENA VISTA COUNTY	1	45000	544
IOWA	CEDAR COUNTY	79	12840700	64667
IOWA	CERRO GORDO COUNTY	98	24665700	65442
IOWA	CHICKASAW COUNTY	60	8647200	42399
IOWA	DES MOINES COUNTY	275	55969200	188461
IOWA	DICKINSON COUNTY	29	6492100	20981
IOWA	DUBUQUE COUNTY	108	21690200	72095
IOWA	EMMET COUNTY	9	955600	10189
IOWA	GUTHRIE COUNTY	35	7946200	32704
IOWA	IDA COUNTY	21	2064700	17330
IOWA	IOWA COUNTY	106	22244900	76097
IOWA	KEOKUK COUNTY	3	395000	1639
IOWA	KOSSUTH COUNTY	18	5061500	31558
IOWA	LINN COUNTY	2094	501700700	1548720
IOWA	LOUISA COUNTY	173	34420200	118390
IOWA	LUCAS COUNTY	2	4e+05	1886
IOWA	LYON COUNTY	29	2528900	21175
IOWA	MAHASKA COUNTY	30	6930300	28182
IOWA	MILLS COUNTY	90	21637800	77268
IOWA	MONONA COUNTY	46	7530500	40955
IOWA	MUSCATINE COUNTY	229	42862800	198705
IOWA	O'BRIEN COUNTY	3	609000	2586
IOWA	PAGE COUNTY	4	485000	1597
IOWA	PALO ALTO COUNTY	10	1549000	5664
IOWA	PLYMOUTH COUNTY	33	4838400	34069
IOWA	POCAHONTAS COUNTY	4	877000	4081
IOWA	POTTAWATTAMIE COUNTY	1011	189826800	911006
IOWA	POWESHIEK COUNTY	6	1336000	3701
IOWA	RINGGOLD COUNTY	1	350000	415
IOWA	SAC COUNTY	9	1011800	9695
IOWA	SIOUX COUNTY	25	5000400	26289
IOWA	STORY COUNTY	228	68918900	276895
IOWA	TAMA COUNTY	53	5324900	68810
IOWA	WAPELLO COUNTY	67	15903600	65442
IOWA	WEBSTER COUNTY	53	8916300	37572
IOWA	WINNESHIEK COUNTY	71	17450500	57556
IOWA	WOODBURY COUNTY	352	67917700	378611
IOWA	WRIGHT COUNTY	25	5096300	39812
KANSAS	BUTLER COUNTY	277	60247500	243918
KANSAS	CHEROKEE COUNTY	88	10746300	64092
KANSAS	CLAY COUNTY	29	2458100	10493
KANSAS	FRANKLIN COUNTY	53	14284000	63293
KANSAS	JACKSON COUNTY	12	2536400	7559
KANSAS	JEFFERSON COUNTY	74	13512900	63905
KANSAS	MARION COUNTY	35	3378900	34324
KANSAS	MARSHALL COUNTY	2	142000	1895
KANSAS	MONTGOMERY COUNTY	165	26869000	180183
KANSAS	RUSSELL COUNTY	2	183600	1519
KANSAS	WASHINGTON COUNTY	9	719000	5423
KANSAS	CRAWFORD COUNTY	129	20144600	98321
KANSAS	JOHNSON COUNTY	877	231479000	846668
KANSAS	LINCOLN COUNTY	1	35000	411
KANSAS	SALINE COUNTY	344	57948100	406793
KANSAS	SCOTT COUNTY	3	805000	1135
KANSAS	DOUGLAS COUNTY	430	93601800	282451
KANSAS	SEDGWICK COUNTY	1760	376082800	1122964
KANSAS	HAMILTON COUNTY	16	3104800	16732
KANSAS	MITCHELL COUNTY	26	2313100	24369
KANSAS	THOMAS COUNTY	5	675500	5197
KANSAS	BROWN COUNTY	16	380100	7867
KANSAS	EDWARDS COUNTY	98	7395800	66529
KANSAS	FORD COUNTY	95	12023400	119948
KANSAS	ALLEN COUNTY	102	13737700	111598
KANSAS	MIAMI COUNTY	86	14712600	56003
KANSAS	RUSH COUNTY	9	430700	7248
KANSAS	DICKINSON COUNTY	130	13885500	126490
KANSAS	LINN COUNTY	21	3936000	27081
KANSAS	LYON COUNTY	82	12129500	93537
KANSAS	ANDERSON COUNTY	5	465000	4440
KANSAS	ATCHISON COUNTY	15	3586400	18045
KANSAS	BARBER COUNTY	10	2019700	4632
KANSAS	BARTON COUNTY	171	15759800	126341
KANSAS	BOURBON COUNTY	37	7548400	42525
KANSAS	CHASE COUNTY	25	2318700	23478
KANSAS	CHAUTAUQUA COUNTY	2	64000	786
KANSAS	CHEYENNE COUNTY	4	136200	1619
KANSAS	CLARK	24	2173100	6889
KANSAS	CLOUD COUNTY	78	8575100	49278
KANSAS	COFFEY COUNTY	22	1919600	17269
KANSAS	COWLEY COUNTY	92	15749000	94718
KANSAS	DONIPHAN COUNTY	169	35890700	126138
KANSAS	ELK COUNTY	4	115700	1937
KANSAS	ELLIS COUNTY	260	27830900	284256
KANSAS	ELLSWORTH COUNTY	30	1967600	19307
KANSAS	FINNEY COUNTY	45	8481000	32864
KANSAS	GEARY COUNTY	60	14751300	67909
KANSAS	GRAY COUNTY	4	506000	4120
KANSAS	GREENWOOD COUNTY	8	938900	4760
KANSAS	HARPER COUNTY	13	762200	9258
KANSAS	HARVEY	14	3232900	8545
KANSAS	HARVEY COUNTY	236	39076900	161803
KANSAS	HODGEMAN COUNTY	1	25000	356
KANSAS	JEWELL COUNTY	2	67000	543
KANSAS	KEARNY COUNTY	15	2572900	25201
KANSAS	KINGMAN COUNTY	57	7816500	102064
KANSAS	KIOWA COUNTY	4	166100	3328
KANSAS	LABETTE COUNTY	136	16644300	117183
KANSAS	LANE COUNTY	2	2e+05	3986
KANSAS	LEAVENWORTH COUNTY	227	51729300	181589
KANSAS	MCPHERSON COUNTY	149	24224100	142311
KANSAS	MORRIS COUNTY	2	63500	967
KANSAS	NEMAHA COUNTY	5	795200	6401
KANSAS	NEOSHO COUNTY	125	16528700	92586
KANSAS	NESS COUNTY	11	1422400	14642
KANSAS	NORTON COUNTY	4	460000	3312
KANSAS	OSAGE COUNTY	49	5037400	36228
KANSAS	OSBORNE COUNTY	3	39400	735
KANSAS	OTTAWA COUNTY	118	7866500	78965
KANSAS	PAWNEE COUNTY	49	3479400	35717
KANSAS	POTTAWATOMIE COUNTY	540	144555800	405237
KANSAS	PRATT COUNTY	18	3425200	12560
KANSAS	RAWLINS COUNTY	6	1253000	1950
KANSAS	RENO COUNTY	258	35192300	219138
KANSAS	REPUBLIC COUNTY	26	4361100	11209
KANSAS	RICE COUNTY	94	9173700	74549
KANSAS	RILEY COUNTY	101	20372800	81786
KANSAS	ROOKS COUNTY	4	646900	1762
KANSAS	SEWARD COUNTY	45	7949800	77278
KANSAS	SHAWNEE COUNTY	1332	253947400	834573
KANSAS	SHERIDAN COUNTY	2	5e+05	7013
KANSAS	SHERMAN COUNTY	4	564500	3150
KANSAS	SUMNER COUNTY	120	16801500	112475
KANSAS	WABAUNSEE COUNTY	49	6023800	41972
KANSAS	WILSON COUNTY	63	9860100	45664
KANSAS	WOODSON COUNTY	1	28000	130
KANSAS	WYANDOTTE COUNTY	240	80590700	362764
KENTUCKY	BUTLER COUNTY	15	1998200	12458
KENTUCKY	CLAY COUNTY	67	6874500	51678
KENTUCKY	FAYETTE COUNTY	575	126298100	615286
KENTUCKY	FRANKLIN COUNTY	442	105068000	679809
KENTUCKY	HENRY COUNTY	33	3655900	20669
KENTUCKY	JACKSON COUNTY	25	5366200	39114
KENTUCKY	JEFFERSON COUNTY	5023	866889700	4796741
KENTUCKY	LAWRENCE COUNTY	53	7574400	31379
KENTUCKY	LEE COUNTY	23	5397700	53810
KENTUCKY	MADISON COUNTY	306	66524700	155711
KENTUCKY	MARION COUNTY	33	4190600	18741
KENTUCKY	MARSHALL COUNTY	128	21443000	85107
KENTUCKY	MONROE COUNTY	3	495000	1341
KENTUCKY	MONTGOMERY COUNTY	51	7291800	49893
KENTUCKY	MORGAN COUNTY	45	7290200	47640
KENTUCKY	PIKE COUNTY	1222	253745200	1157298
KENTUCKY	RUSSELL COUNTY	11	2512000	4390
KENTUCKY	SHELBY COUNTY	53	12449100	31164
KENTUCKY	WASHINGTON COUNTY	30	4992000	33585
KENTUCKY	BOONE COUNTY	79	14255400	59432
KENTUCKY	CARROLL COUNTY	80	8464700	64216
KENTUCKY	CLARK COUNTY	142	28960600	191381
KENTUCKY	CRITTENDEN COUNTY	14	1224900	11896
KENTUCKY	FULTON COUNTY	32	2825100	31713
KENTUCKY	GRANT COUNTY	14	1066800	12097
KENTUCKY	JOHNSON COUNTY	441	69260300	402028
KENTUCKY	LINCOLN COUNTY	13	1738400	7468
KENTUCKY	LOGAN COUNTY	109	15212400	97279
KENTUCKY	PERRY COUNTY	246	32868500	332294
KENTUCKY	PULASKI COUNTY	34	6115800	23844
KENTUCKY	SCOTT COUNTY	130	27977800	98412
KENTUCKY	UNION COUNTY	25	4592000	16256
KENTUCKY	MARTIN COUNTY	238	47235400	187466
KENTUCKY	TAYLOR COUNTY	27	3661800	22747
KENTUCKY	FLOYD COUNTY	743	122768900	752235
KENTUCKY	HANCOCK COUNTY	90	15871200	81153
KENTUCKY	HART COUNTY	28	2495900	15272
KENTUCKY	WARREN COUNTY	166	37868900	108459
KENTUCKY	WAYNE COUNTY	12	1425800	8541
KENTUCKY	LEWIS COUNTY	99	13393300	61484
KENTUCKY	CHRISTIAN COUNTY	458	85272000	494652
KENTUCKY	CLINTON COUNTY	11	1755700	6602
KENTUCKY	CUMBERLAND COUNTY	5	1490000	2773
KENTUCKY	GALLATIN COUNTY	73	13007100	88624
KENTUCKY	HARDIN COUNTY	402	67839200	353727
KENTUCKY	HENDERSON COUNTY	396	52296500	352727
KENTUCKY	KNOX COUNTY	131	17565500	101043
KENTUCKY	LIVINGSTON COUNTY	56	10128700	32983
KENTUCKY	MASON COUNTY	24	2466900	11597
KENTUCKY	MCLEAN COUNTY	74	8327200	53566
KENTUCKY	MERCER COUNTY	83	11163300	80182
KENTUCKY	WOODFORD COUNTY	169	33169200	227753
KENTUCKY	ALLEN COUNTY	21	4261000	18347
KENTUCKY	DAVIESS COUNTY	1645	240524300	1077786
KENTUCKY	HARRISON COUNTY	110	13352200	108473
KENTUCKY	OHIO COUNTY	38	5715400	24858
KENTUCKY	OWEN COUNTY	54	5962900	35742
KENTUCKY	SPENCER COUNTY	28	5150900	25982
KENTUCKY	WHITLEY COUNTY	41	7185500	34249
KENTUCKY	WEBSTER COUNTY	53	4136700	32099
KENTUCKY	ANDERSON COUNTY	49	9090500	34223
KENTUCKY	BOURBON COUNTY	127	21331700	128038
KENTUCKY	ADAIR COUNTY	15	1959900	11821
KENTUCKY	BALLARD COUNTY	34	3902300	27999
