Applicant,Subgrant Title,Proposed Federal Share,Status,Year
New Jersey,Atlantic City FMA Project,1758929.98,Identified for Further Review,2016
New Jersey,Green Brook Township 2016 FMA,952106.00,Identified for Further Review,2016
New Jersey,"Cape May County, NJ Elevations - FMA 2016",7467937.26,Identified for Further Review,2016
New Jersey,Wayne 2016 SRL Category 2 App - Acq/Demo,3156943.87,Identified for Further Review,2016
New Jersey,Wayne 2016 FMA RL Acq/Demo,2462618.77,Identified for Further Review,2016
New Jersey,Brigantine FMA Project Revised,942455.11,Identified for Further Review,2016
New Jersey,Ventnor FMA Grant Revised,1238162.32,Identified for Further Review,2016
New Jersey,Wayne 2016 SRL Category 1 App - Acq/Demo,4851176.04,Not Selected,2016
New Jersey,Wayne FMA 2016 Acq/Demo,9567600.00,Not Selected,2016
Nevada,Douglas County - Smelter Creek Regional Flood Control Facility (FMA),2473650.00,Did not meet HMA requirements,2016
New York,Town of Perinton FMA 2016 Acquisitions,154440.00,Not Selected,2016
Ohio,City of Strongsville Private Property Acquitions-FMA 2016,584355.00,Not Selected,2016
Ohio,State of Ohio FMA Technical Assistance Grant 2016,49998.25,Identified for Further Review,2016
Ohio,Hancock County Acquisition FMA/SRL FY16,1099836.00,Identified for Further Review,2016
Ohio,"420 S. Cool Road, Allen County FY2016 FMA SRL",135540.00,Did not meet HMA requirements,2016
Ohio,Stark County Park District Acq of 4 FMA FY16,591172.50,Identified for Further Review,2016
Ohio,Stark County Park District Acquisition FMA SRL FY16,176150.00,Identified for Further Review,2016
Ohio,City of Twinsburg Tinkers Creek Flood Acquisition - FY16 FMA,150795.00,Not Selected,2016
Ohio,Village of Valley View 2016 FMA Project,2032965.00,Not Selected,2016
Oregon,Clatskanie SRL - Northwoods Inn Motel Acquisition Project,1696205.08,Identified for Further Review,2016
Oregon,"Clackamas County, OR - Repetitive Loss Home Acquisition",334132.20,Identified for Further Review,2016
Oregon,City of Milwaukie Oregon SRL/SD FMA Acquisition,395485.00,Identified for Further Review,2016
Pennsylvania,FMA - 2016 Flood Control ,206250.00,Did not meet HMA requirements,2016
Pennsylvania,Town of Bloomsburg,2962281.00,Did not meet HMA requirements,2016
Pennsylvania,FMA 2016 Technical Assistance,37387.50,Identified for Further Review,2016
Pennsylvania,3529 Lisburn Road Acquisition Project,255250.00,Identified for Further Review,2016
Pennsylvania,County of Adams Mitigation Project,266700.00,Identified for Further Review,2016
Pennsylvania,FMA 2016 Ridgway Acquisition Project,202000.00,Identified for Further Review,2016
Pennsylvania,Center Township Butler Co Hazard Mitigation Grant program,274350.00,Identified for Further Review,2016
Pennsylvania,West Whiteland Township Acquisition Project #3,275300.00,Identified for Further Review,2016
Pennsylvania,Grant Year 2016 Lycoming County FMA SRL Acquisition,2681750.00,Identified for Further Review,2016
Pennsylvania,Borough of Ambler Hazard Mitigation Project,759000.00,Identified for Further Review,2016
South Carolina,City of Columbia Homeowner Acquisition Project,2389415.59,Did not meet HMA requirements,2016
South Carolina,"City of Columbia, SC Flood Recovery Homeowner Elevation Grant",294750.00,Did not meet HMA requirements,2016
South Carolina,City of Cayce FMA Planning Grant for Riverland Park Subdivision,18750.00,Identified for Further Review,2016
South Carolina,City of North Charleston - Pepperhill Area Drainage Analysis and Flood Miti.,25000.00,Identified for Further Review,2016
South Carolina,Richland County Multi-Property Acquisition Project,1129728.63,Not Selected,2016
South Carolina,Lexington County FMA Acquisition 2016,996042.80,Not Selected,2016
South Carolina,City of North Charleston - Flood Mitigation Project,320505.00,Not Selected,2016
South Carolina,Town of Hilton Head Island Structure Elevation at 12 Midstream,128362.50,Not Selected,2016
South Carolina,City of Charleston FMA Acquisition Application,10188087.16,Not Selected,2016
Tennessee,Cleveland FMA RL Properties 2016,90558.00,Identified for Further Review,2016
Tennessee,Cleveland FMA SRL Properties 2016,328020.00,Identified for Further Review,2016
Texas,City of Houston FMA SRL Pri 1 Elevation 2nd app - 22 Homes - app 4,6730388.36,Did not meet HMA requirements,2016
Texas,City of Houston FMA RL Elevation app - 75 Homes - App 2,17113175.80,Did not meet HMA requirements,2016
Texas,City of Houston FMA Insured Elevation app - 37 Homes - app 3,8850170.63,Did not meet HMA requirements,2016
Texas,City of Kingsville 2016 1 home SRL acq/demo,104170.00,Did not meet HMA requirements,2016
Texas,Taylors Bayou - 2016 FMA application,9817345.50,Did not meet HMA requirements,2016
Texas,DD6 FMA 2016 - D609 S. China Relief,3926261.25,Did not meet HMA requirements,2016
Texas,City of Houston FMA SRL Priority 1 Elevation app - 39 Homes - app 1,12364111.50,Identified for Further Review,2016
Texas,Montgomery County FMA Acquisition Application 7.11.16,8801842.80,Identified for Further Review,2016
Texas,Port Aransas 2016 FMA application - Elevation,173678.00,Identified for Further Review,2016
Texas,City of New Braunfels FMA Grant,1038834.68,Identified for Further Review,2016
Texas,Bevil Oaks FMA 2016 Acquistion Application,821337.63,Identified for Further Review,2016
Texas,Mykawa Cherry Drainage Project,5093018.52,Identified for Further Review,2016
Texas,Nassau Bay 2016 FMA application,4965129.60,Identified for Further Review,2016
Texas,Harris County Flood Control District Severe Repetitive Loss Acquisition and Demo,15660745.97,Identified for Further Review,2016
Texas,Cedar Park - 2 home Acquisition/demolition,410802.90,Identified for Further Review,2016
Texas,Hardin County Texas SRL/RL Acquisition 2016,2964577.42,Not Selected,2016
Virginia,Virginia FMA Technical Assistance Grant,49998.00,Identified for Further Review,2016
Virginia,FMA 2016 Northern Neck PDC - Elevation of 2 SRL Properties,407324.64,Identified for Further Review,2016
Virginia,FMA 2016 City of Virginia Beach Elevation of SRL properties,2914976.00,Identified for Further Review,2016
Virginia,City of Hampton Elevation of 7 Properties,2516700.00,Identified for Further Review,2016
Virginia,FMA 2016 City of Chesapeake Acquisition of 5 Residential Properties,1193235.75,Identified for Further Review,2016
Virginia,FMA 2016 City of Norfolk - Elevation of Residential Properties Phase 1,1188600.00,Identified for Further Review,2016
Virginia,FMA 2016 Norfolk Elevation of 6 Flood Prone Properties,927375.00,Not Selected,2016
Washington,Clarks Creek Repetitive Loss Property Acquisition,680211.34,Identified for Further Review,2016
Wisconsin,"City of Durand, Pepin County, WI Flood Mitigation Project",235480.00,Identified for Further Review,2016
West Virginia,Kanawha County Acquisition/Demolition,184009.50,Did not meet HMA requirements,2016
